edge_type_id target_query source_query weight_sigma distance_range weight_function target_sections dynamics_params syn_weight delay model_template
236 node_type_id=='486110216' pop_name=='e4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000688643322757 1.5 exp2syn
237 node_type_id=='487664663' pop_name=='e4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000890493189227 1.5 exp2syn
238 node_type_id=='487664663' pop_name=='LIFe4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000890493189227 1.5 exp2syn
239 node_type_id=='471129934' pop_name=='i4Sst' 90.0 "[50.0, 1e+20]" DirectionRule_others "[""basal"", ""apical""]" GABA_InhToExc.json 0.000187408631022 1.5 exp2syn
240 node_type_id=='471758398' pop_name=='i4Sst' 90.0 "[50.0, 1e+20]" DirectionRule_others "[""basal"", ""apical""]" GABA_InhToExc.json 8.6387982143e-05 1.5 exp2syn
241 node_type_id=='471767045' pop_name=='i4Sst' 90.0 "[50.0, 1e+20]" DirectionRule_others "[""basal"", ""apical""]" GABA_InhToExc.json 5.1924832913e-05 1.5 exp2syn
242 node_type_id=='485574832' pop_name=='i4Sst' 90.0 "[50.0, 1e+20]" DirectionRule_others "[""basal"", ""apical""]" GABA_InhToExc.json 5.66198132145e-05 1.5 exp2syn
243 node_type_id=='485835055' pop_name=='i4Sst' 90.0 "[50.0, 1e+20]" DirectionRule_others "[""basal"", ""apical""]" GABA_InhToExc.json 3.01543850568e-05 1.5 exp2syn
244 node_type_id=='485880739' pop_name=='i4Sst' 90.0 "[50.0, 1e+20]" DirectionRule_others "[""basal"", ""apical""]" GABA_InhToExc.json 4.80250771153e-05 1.5 exp2syn
245 node_type_id=='486052980' pop_name=='i4Sst' 90.0 "[50.0, 1e+20]" DirectionRule_others "[""basal"", ""apical""]" GABA_InhToExc.json 0.00011119968022600004 1.5 exp2syn
