% Model:              9.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 28 2023, 15:47
% Dimension:          3
% Nodes:              41061
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
158.29795793299212        283.77603632903674       -150                     0.2943627484764689
142.79870894409945        287.77535394006776       -149.99999999999997      0.3135332110411189
141.79799832348905        283.77515432829637       -150                     0.31585967212839666
144.42282622802298        286.3736460673935        -156.1977166125036       0.3105179621146602
146.94247017375105        283.8807842825856        -150                     0.30797176220578215
146.16343917896148        279.6670640569787        -155.1352113897143       0.3092686613297566
9.831527092940808         310.15984213544834       -145.00000000000006      0.6646190725822144
10.305382871379173        310.8475629429383        -142.1023135888615       0.6621596962444215
7.24727265400117          317.1925175508393        -141.94893712335215      0.6476967857600365
-172.37704017204342       172.26661419334272       -136.2931051203546       0.5133867589949852
-124.00000000000006       178.00000000000014       -145.00000000000006      0.6053112813715974
-126.00000000000006       176.00000000000017       -145.00000000000006      0.6053112813189753
-121.5639971801196        173.5265911645886        -144.99999999999997      0.6117914445053796
-123.17290665868745       179.08134968575462       -141.76273083796823      0.6126945985019145
-127.7638388973941        179.77103632893306       -144.99999999999997      0.6053112812591828
-145.12208656416357       170.74146628516354       -144.99999999999997      0.5782120992143395
-125.99999999999997       229.99999999999994       -144.99999999999997      0.5976059341766496
-125.84026468530102       227.9154647050622        -141.48735355079302      0.6168233370607349
-125.06590440140911       224.37631076632897       -144.99999999999997      0.6204306397531297
-121.91067516751347       228.1642038716762        -144.99999999999997      0.6203504750284896
-123.99999999999997       232                      -144.99999999999997      0.5976059342134273
-119.89143145827006       233.37947182563855       -141.18997429713718      0.6211433408233235
-129.5564207115325        224.62432796005166       -144.99999999999997      0.614041553454907
-131.23375218416126       229.9999999999999        -144.99999999999991      0.5976059338939229
-130.04097009295376       232.05627748996105       -142.44287421734114      0.6044624243254867
-126.02916499406729       233.92037999572761       -140.52124799936058      0.6119086621031437
-128.1721568805863        234.18245722388406       -144.99999999999997      0.5976059338937673
-123.99999999999997       236.96135976441684       -144.99999999999997      0.5976059339563115
-131.8219655321067        229.78922847598895       -139.35294393195304      0.610203298076755
-139.69411593435666       174.00632348950748       -137.91992187499997      0.5926220377782877
-176.00000000000006       312.0000000000001        4.9999999999999805       0.6357124838701839
-176.00000000000006       307.0386402355829        5                        0.6357124847377895
-171.5243459883601        309.51906231694284       4.999999999999999        0.6357124852747857
-176.41579722078015       309.6272750293665        10.080538444855998       0.5635873500382245
-180.37479147333684       310.74645176499104       5                        0.5388581504474088
-174.00000000000009       314.00000000000017       5                        0.6357124839532541
-171.25640679108005       315.216271902445         9.61214409178607         0.5744624358680277
-177.24566347136042       316.7959435295211        5                        0.5365212617113185
-171.1018186547534        317.29485097925544       4.999999999999999        0.574479536684927
-171.51089252436904       323.06196961434466       5                        0.53229406091047
-177.64764748643708       316.60910993291196       9.912104186604644        0.5254754888080915
-180.99999999999997       323.59999999999997       5                        0.47427344144175965
-146.4317561082221        313.2555066598649        0                        0.7378405066202623
-140.77150739632916       314.323522699646         0                        0.7771515776792304
-146.8928856979262        311.4548792198348        -3.477671242971376       0.7411441793628551
-142.31098947961328       317.94100244130703       -4.439212791515975       0.748177125684776
-145.00168733214417       321.2473106383655        0                        0.7148127921049761
-141.43104822976474       308.7003307818117        0                        0.7965567705459323
-158.00000000000003       314.00000000000017       4.9999999999999805       0.6357124876569851
-156.00000000000003       312.0000000000001        4.9999999999999805       0.6357124881287249
-159.15168658708217       315.1788801798373        10.0270141545759         0.6320254450932299
-159.5411948049443        310.4486741400124        5                        0.6357124875371866
-154.55210115489075       317.05256055335894       5                        0.6610981472918629
-176                      286.00000000000017       4.9999999999999805       0.6357124870471377
-172.1623373321693        287.8166942349409        5                        0.6357124876966634
-173.36369062504218       288.3394588393949        8.673368153442695        0.6180460025518175
-174.00000000000003       284.0000000000001        4.9999999999999805       0.6357124874044285
-156.00000000000003       286.00000000000017       4.9999999999999805       0.6357124917815619
-155.12316408701716       284.96586469916406       7.43633700746629         0.7217809729834422
-158.00000000000003       284.0000000000001        4.9999999999999805       0.6357124915607341
-153.69390364250842       282.69602655836746       4.999999999999999        0.7576286392956907
-156.3067398133118        278.9844736573983        5                        0.7530940111468619
-175.75643406429106       282.58897721510283       9.897442296570656        0.6052234953565704
-178.70164731941242       281.84094175416527       5                        0.5900634826590002
